SL NO |DIST|PROJ|CIRC|CENTREID|CENTRE CODE|CENTRE|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70
18|Bangalore|Bangalore central |Netravathi|30353||DODDAMAVALLI|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
19|Bangalore|Bangalore central |Netravathi|30229||NS GARDEN|1|0|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|NA|1|1|1|1|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
20|Bangalore|Bangalore central |Netravathi|30241||RAMMANNA GARDEN 1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
21|Bangalore|Bangalore central |Netravathi|30275||RAMMANNA GARDEN 2|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
22|Bangalore|Bangalore central |Netravathi|34056||SAMPANGI RAMNAGAR 2|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0
23|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN00700|GOPALPURA 2|1|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|0|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
24|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN00705|GOPALPURA 1|1|0|0|0|0|0|1|1|1|1|0|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|0|0|1|0|0|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
25|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN00526|AMAR JYOTHI NAGAR|1|0|1|1|0|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
26|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN00121|GOPALAPURA WARD 26|1|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
27|Bangalore|Bangalore central |Kuvempunagar 4th Circle|31044||PRASHANTH NAGAR|1|0|1|0|0|1|1|1|1|1|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
