SL NO |DIST|PROJ|CIRC|CENTREID|CENTRE CODE|CENTRE|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70
330|Bangalore|ANEKAL TALUK  |chandapura||AN001973|THIRUMAGONDANAHALLI A|1|1|1|1|1|1|1|0|1|1|0|1|0|0|1|1|1|1|1|1|0|1|1|1|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|NA|NA
331|Bangalore|ANEKAL TALUK  |chandapura||AN002043|ICCHANGURU VADDARAPALYA|1|0|0|0|0|1|1|1|1|1|0|1|0|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
332|Bangalore|ANEKAL TALUK  |chandapura|||KEERTHI LAYOUT|1|0|0|0|0|0|1|1|0|0|0|1|0|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
333|Bangalore|ANEKAL TALUK  |Indlavadi||AN001905|KARAKALGATTA|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|NA|NA
334|Bangalore|ANEKAL TALUK  |Indlavadi||AN001888|INDLAVADI A|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|NA|NA|1|1|1|1|1|1|1|1|1|1|NA|NA
335|Bangalore|ANEKAL TALUK  |Indlavadi||AN00941|THAMMANAYAKANAHALLI|1|1|1|1|0|0|0|0|1|1|1|0|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
336|Bangalore|ANEKAL TALUK  |Indlavadi||AN00931|TELEGARAHALLI|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|0|0|1|1|1|1|0|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|NA|NA
337|Bangalore|ANEKAL TALUK  |Indlavadi||AN001891|SUNNAVARA|1|1|1|0|1|0|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
338|Bangalore|ANEKAL TALUK  |Indlavadi|30812||KALANAYAKANAHALLI|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|NA|NA
339|Bangalore|ANEKAL TALUK  |Indlavadi||AN001895|INDLAVADI B|1|1|1|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
340|Bangalore|ANEKAL TALUK  |Indlavadi||AN001903|MYSORAMMANADOODI|1|1|1|0|0|0|1|0|1|1|1|1|0|0|1|1|0|1|1|1|0|0|0|0|1|1|1|1|0|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
341|Bangalore|ANEKAL TALUK  |Indlavadi||AN001897|CHIKKANAHALLI(THIMMASANDRA)|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
342|Bangalore|ANEKAL TALUK  |Indlavadi||AN001894|INDLAVADI PURA|1|1|1|0|0|0|0|0|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|NA|NA|1|1|1|1|1|1|1|1|1|1|NA|NA
343|Bangalore|ANEKAL TALUK  |Indlavadi||AN00929|MENASIGANAHALLI|1|1|1|0|0|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|NA|NA
344|Bangalore|ANEKAL TALUK  |Indlavadi||AN00921|KEMPUDOMMASANDRA|1|1|1|0|0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
345|Bangalore|ANEKAL TALUK  |Indlavadi||AN001884|SIDDASANDRA|1|0|0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
346|Bangalore|ANEKAL TALUK  |Indlavadi||AN001892|VANAKANAHALLI|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
347|Bangalore|ANEKAL TALUK  |Indlavadi||AN001889|CHOODENAHALLI|0|1|1|1|0|1|1|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|0|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|0|1|1|0|0|1|1|1|1|1|NA|NA
348|Bangalore|ANEKAL TALUK  |Indlavadi||AN00927|KALANAYAKANAHALLI|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
349|Bangalore|ANEKAL TALUK  |Indlavadi||AN001885|P.GOLLAHALLI|1|0|1|1|0|0|1|0|1|1|0|0|0|0|1|0|0|1|1|1|1|1|0|0|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
350|Bangalore|ANEKAL TALUK  |Indlavadi||AN001555|KADUJAKKANAHALLI|1|1|1|1|1|1|1|0|1|0|1|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
351|Bangalore|ANEKAL TALUK  |Indlavadi||AN001887|LAKSHMIPURA|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
352|Bangalore|ANEKAL TALUK  |Indlavadi||AN0085|CHIKKAHOSAHALLI|1|1|1|1|1|0|0|0|0|0|1|0|0|0|1|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
353|Bangalore|ANEKAL TALUK  |Indlavadi||AN001899|NALLAIAHNADODDY(MINI)|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
354|Bangalore|ANEKAL TALUK  |Indlavadi||AN001883|BANGLADODDI(MINI)|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
355|Bangalore|ANEKAL TALUK  |Indlavadi||AN001901|CHODAHALLI|1|0|0|1|1|0|0|0|0|0|1|0|0|0|1|1|1|1|1|1|1|1|0|1|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
356|Bangalore|ANEKAL TALUK  |Indlavadi||AN002042|SOLURU|NA|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
357|Bangalore|ANEKAL TALUK  |Indlavadi||33607|AREHALLY|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
358|Bangalore|ANEKAL TALUK  |Hennagara||AN001908|HENNAGARA|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|1|1|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
359|Bangalore|ANEKAL TALUK  |Hennagara||AN001904|HENNAGARA(DINNE)|0|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
360|Bangalore|ANEKAL TALUK  |Hennagara|33558||CHIKKA HAGADE|1|1|1|1|1|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|0|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
361|Bangalore|ANEKAL TALUK  |Hennagara|33560||AVADENAHALLI|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
362|Bangalore|ANEKAL TALUK  |Hennagara|33556||BYAGADADENAHALLI|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
363|Bangalore|ANEKAL TALUK  |Hennagara|33574||KACHANAYAKANAHALLI JANATHA COLONY|1|1|0|0|0|1|0|0|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
364|Bangalore|ANEKAL TALUK  |Hennagara|33579||KACHANAYAKANAHALLI VINAYAKANAGARA|1|1|1|0|0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
365|Bangalore|ANEKAL TALUK  |Hennagara|33571||H.HOSAHALLI|1|1|1|0|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
366|Bangalore|ANEKAL TALUK  |Hennagara||AN001018|MASTENAHALLI|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|0|0|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
367|Bangalore|ANEKAL TALUK  |Hennagara||AN00924|JANATHA CILONY(KAVALAHOSAHALLI)|1|1|1|1|0|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
368|Bangalore|ANEKAL TALUK  |Hennagara||AN00930|KAMMESENDRA AGRAHARA|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
369|Bangalore|ANEKAL TALUK  |Hennagara||AN001902|KAVALAHOSAHALLI B|0|0|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
370|Bangalore|ANEKAL TALUK  |Hennagara||AN00936|TATNAHALLI|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
371|Bangalore|ANEKAL TALUK  |Hennagara||AN001909|RAJAPURA|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
372|Bangalore|ANEKAL TALUK  |Hennagara||AN001912|RAMAKRISHNAPURA|1|0|0|0|1|1|0|0|0|1|1|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
373|Bangalore|ANEKAL TALUK  |Hennagara||AN001907|MASTENAHALLI DINNE|1|0|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|1|0|0|0|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
374|Bangalore|ANEKAL TALUK  |Hennagara||AN001910|HINNAKKI B|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|1|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
375|Bangalore|ANEKAL TALUK  |Hennagara||AN001906|HINNAKKI A|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
376|Bangalore|ANEKAL TALUK  |Hennagara||AN001893|SOPPAHALLI|1|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|0|0|0|1|1|1|0|0|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
377|Bangalore|ANEKAL TALUK  |Hennagara||AN00922|YALAMMANAPALYA|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|0|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|0|1|1|0|0|1|1|1|1|1|1|1|1|1|NA|NA
378|Bangalore|ANEKAL TALUK  |Hennagara||AN00932|KONAMDIVALA|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|1|0|1|0|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|0|1|0|0|1|1|1|1|0|0|0|0|0|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|0|0|0|NA|NA
379|Bangalore|ANEKAL TALUK  |Hennagara||AN001890|KEMPAVADARAHALLI|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|0|0|0|0|1|1|1|0|1|0|0|0|1|1|0|0|1|NA|1|1|0|NA|NA
380|Bangalore|ANEKAL TALUK  |Hennagara||AN001886|DODDAHAGADE|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|1|1|1|0|0|0|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|NA|NA
381|Bangalore|ANEKAL TALUK  |Hennagara|||KACHANAYAKANAHALLI DINNE|1|1|1|0|0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
382|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002002|HEBBAGODI A|1|1|1|0|0|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|0|0|0|0|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
383|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002081|KAGGALIPURA|1|0|0|0|0|1|1|1|1|1|0|0|0|0|1|1|1|1|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
384|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002064|VEERASANDRA|1|1|1|0|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
385|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002006|HEBBAGODI THIRUPALYA B|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
386|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002045|THIRUPALYA|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
387|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002001|KAMMASANDRA VADDARAPALYA|1|1|1|1|0|0|1|1|1|1|1|0|0|0|1|0|0|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
388|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002078|CHOKKASANDRA|1|0|0|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
389|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002066|RAYASANDRA|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
390|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002076|AVALAHALLI|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
391|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002062|CHOODASANDRA|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
392|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002073|HUSKUR HAROHALLI|1|0|0|0|0|1|1|1|1|1|1|0|0|1|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
393|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002071|HUSKUR    |1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
394|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002665|CHINTHALAMADIVALA|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
395|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002049|KOODLU|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
396|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002122|HEBBAGODI B  |1|1|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
397|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002008|HEBBAGODI GOLLAHALLI|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
398|Bangalore|ANEKAL TALUK  |Hebbagodi|33638||HIBBAGODI C|1|0|0|1|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
399|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002059|YARANDAHALLI|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
400|Bangalore|ANEKAL TALUK  |Hebbagodi||AN001524|GOOLIMANGALA|1|0|0|0|1|0|1|0|0|0|1|0|0|0|1|0|1|1|1|1|0|0|0|0|1|1|1|0|0|0|1|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
401|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002021|CHIKKANAGAMANGALA|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
402|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002011|KAMMASANDRA    |1|1|1|1|0|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|1|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
403|Bangalore|ANEKAL TALUK  |Hebbagodi||AN002685|SHANTHIPURA|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|NA|NA
