"Sl.No"|"Data entry operator "|"Cross Check D/O"|"Starting time of the visit"|"Ending time of the visit"|"Year of establishment of the anganwadi centre"|"date"|"District"|"Project"|"Circle"|"KLP ID"|"code"|"Ang Name"|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60||62|63|64|65|66|67|68|69|70
283|"MUNIRATHNA"|"MOHSINA"|"09:40:00"|"11:30:00"|1995||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|29614||"DODDABANASWADI"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
284|"MUNIRATHNA"|"MOHSINA"|"09:30:00"|"11:10:00"|1998||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30302||"GANDHI GRAMA"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
285|"MUNIRATHNA"|"MOHSINA"|"12:50:00"|"02:00:00"|"NILL"||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|29601||"KARIYANAPALYA2"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
286|"MUNIRATHNA"|"MOHSINA"|"11:40:00"|"12:40:00"|1995||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|29604||"KARIYAN PALYA1"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
287|"MUNIRATHNA"|"MOHSINA"|"09:30:00"|"11:00:00"|1999||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|34038||"K.G.HALLI"|"NO"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
288|"MUNIRATHNA"|"MOHSINA"|"12:05:00"|"01:15:00"|1998||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30765||"LAKSHMANMURTHI NAGAR"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
289|"MUNIRATHNA"|"MOHSINA"|"11:10:00"|"12:30:00"|1996||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|29599||"MRSPALYA 1"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
290|"MUNIRATHNA"|"MOHSINA"|"12:30:00"|"02:00:00"|1996||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30322||"M.R.S.PALYA 2"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
291|"MUNIRATHNA"|"MOHSINA"|"01:00:00"|"02:00:00"|1997||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30296||"MUNESHWARA NAGARA"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
292|"MUNIRATHNA"|"MOHSINA"|"02:30:00"|"03:30:00"|1997||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|29625||"NAGANPALYA"|"NO"|"NO"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
293|"MUNIRATHNA"|"MOHSINA"|"09:40:00"|"11:00:00"|1995||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|34021||"PERIYAR NAGAR-I"|"NO"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
294|"MUNIRATHNA"|"MOHSINA"|"09:40:00"|"11:00:00"|1995||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30626||"PERIYAR NAGAR II"|"NO"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
295|"MUNIRATHNA"|"MOHSINA"|"10:00:00"|"12:00:00"|1995||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30419||"PILLA REDDY NAGARA"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
296|"MUNIRATHNA"|"MOHSINA"|"12:30:00"|"01:40:00"|1995||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|29694||"RAMMURTHY NAGAR"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
297|"MUNIRATHNA"|"MOHSINA"|"11:30:00"|"01:00:00"|1999||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30321||"VENKATESHAPURA"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
298|"MUNIRATHNA"|"MOHSINA"|"01:00:00"|"02:30:00"|2005||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|34024||"VIJANAPUR-5"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
299|"MUNIRATHNA"|"MOHSINA"|"09:30:00"|"11:30:00"|2005||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|34023||"VIJANAPUR-6"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
300|"MUNIRATHNA"|"MOHSINA"|"11:30:00"|"12:30:00"|2003||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30303||"VIJINAPURA-III"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
301|"MUNIRATHNA"|"MOHSINA"|"09:30:00"|"11:45:00"|2000||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30323||"VIJNA PURA 1"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
302|"MUNIRATHNA"|"MOHSINA"|"12:40:00"|"01:30:00"|2002||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30581||"VIJNA PURA 2"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
303|"MUNIRATHNA"|"MOHSINA"|"11:40:00"|"12:45:00"|2005||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|29600||"VIJNAPURA 4"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
304|"MUNIRATHNA"|"MOHSINA"|"09:40:00"|"11:30:00"|2000||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"DODDA BANASWADI"|30374||"YARAYYANAPALYA"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
305|"MUNIRATHNA"|"MOHSINA"|"01:30:00"|"03:00:00"|2007||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"KODIHALLI"|30958||"ANASANDRAPALYA"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
306|"MUNIRATHNA"|"MOHSINA"|"12:00:00"|"01:30:00"|2007||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"KODIHALLI"|34032||"ANNASANDRAPALYA 2ND"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
307|"MUNIRATHNA"|"MOHSINA"|"09:30:00"|"11:20:00"|1997||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"KODIHALLI"|30963||"BABASAHEB COLONY 1"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
308|"MUNIRATHNA"|"MOHSINA"|"11:30:00"|"01:30:00"|1997||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"KODIHALLI"|30960||"BABASAHEB COLONY 2"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
309|"MUNIRATHNA"|"MOHSINA"|"09:30:00"|"11:30:00"|1997||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"KODIHALLI"|33458||"DOMMALURU"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
310|"MUNIRATHNA"|"MOHSINA"|"09:30:00"|"11:00:00"|1998||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"KODIHALLI"|31342||"G M PALYA"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
311|"MUNIRATHNA"|"MOHSINA"|"11:45:00"|"12:30:00"|"NILL"||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"KODIHALLI"|30664||"KODIHALLI"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
312|"MUNIRATHNA"|"MOHSINA"|"09:30:00"|"11:30:00"|2000||" BANGALORE"|"SUMANGALI SEVA ASHRAMA"|"KODIHALLI"|30654||"KONENAAGRAHARA"|"NO"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
