147,'Adugodi','General','S.M.Murugesh Modaliyar','INC'
114,'Agaram','Scheduled Caste','Sarala','INC'
105,'Agrahara Dasarahalli','Backward Category A (Women)','Roopa Devi','BJP'
56,'A Narayanapura','Backward Category A','S.S.Prasad','BJP'
196,'Anjanapura','General','S.Gangadhar','INC'
193,'Arakere','General','A.N.Purushotham','BJP'
35,'Aramane Nagara','General','Dr.M.S.Shiva Prasad','BJP'
132,'Attiguppe','General','K.Doddanna','INC'
3,'Atturu','General (Women)','K.N.Geetha Shashikumar','BJP'
141,'Azad Nagar','General (Women)','Gowramma','INC'
14,'Bagalakunte','General','B.R.Chandrashekhar','BJP'
27,'Banasavadi','General','A.Kodanda Reddy','BJP'
180,'Banashankari Temple ward','General','Mohammed Ali','JDS'
134,'Bapuji Nagar','Backward Category A','Krishna.V','BJP'
154,'Basavanagudi','General','B.S.Sathyanarayana','BJP'
53,'Basavanapura','General','K.Poornima','INC'
100,'Basaveshwara Nagar','Backward Category A','S.H.Padmaraj','BJP'
192,'Begur','Backward Category B','M.Srinivas','JDS'
150,'Bellanduru','Backward Category B','Babu Reddy.B.P','INC'
50,'Benniganahalli','Scheduled Caste','Dayanand.N','BJP'
91,'Bharathi Nagar','General','Shakeel Ahmed','INC'
188,'Bilekhalli','General (Women)','M.Roopa Ramesh','BJP'
121,'Binnipete','Backward Category A (Women)','Srividya','INC'
175,'Bommanahalli','General','Manjunath Reddy B.S','BJP'
176,'BTM Layout','General','G.N.R.Babu','INC'
7,'Byatarayanapura','Scheduled Tribe','Indira','INC'
169,'Byrasandra','Backward Category A','N.Nagaraju','BJP'
138,'Chalavadipalya','Scheduled Caste','Rekha','BJP'
140,'Chamrajapet','Backward Category A','B.V.Ganesh','BJP'
109,'Chickpete','General','A.L.Shivakumar','BJP'
183,'Chikkalsandra','General','B.S.Venkataswamy Naidu','BJP'
39,'Chokkasandra','Backward Category A','M.Muniswamy','JDS'
2,'Chowdeswari Ward','Backward Category A (Women)','K.V. Yashodha','BJP'
120,'Cottonpete','Backward Category A (Women)','Vasanth Kumari','BJP'
57,'C V Raman Nagar','Backward Category A','M.Krishnappa','BJP'
77,'Dattatreya Temple','General','R.S. Sathyanarayana','INC'
97,'Dayananda Nagar','Scheduled Caste','Shakeela.M','INC'
158,'Deepanjali Nagar','Backward Category A (Women)','Malathi','BJP'
47,'Devara Jeevanahalli','Scheduled Caste','Sampath Raj .R','INC'
55,'Devasandra','Backward Category B','R.Manjula Devi','BJP'
119,'Dharmaraya Swamy Temple','Backward Category A','P.Dhanaraj','BJP'
40,'Dodda Bidarakallu','General (Women)','T.A.Gayathri','JDS'
10,'Dodda Bommasandra','General','M E Pillappa','BJP'
85,'Dodda Nekkundi','General','Sridhar Reddy','BJP'
112,'Domlur','General (Women)','Geetha Srinivasa Reddy','BJP'
106,'Dr. Raj Kumar Ward','General','Gangabyraiah','BJP'
148,'Ejipura','General (Women)','P.M.Saroja','INC'
157,'Gali Anjenaya Temple ward','General','B.S.Anand','BJP'
94,'Gandhinagar','General','S. Nataraj','INC'
165,'Ganesh Mandir ward','Backward Category A','L.Govindaraj','INC'
20,'Ganga Nagar','General','Anand.V','BJP'
34,'Gangenahalli','General','M.Nagaraj','BJP'
82,'Garudachar Playa','General','N.Pillappa','INC'
76,'Gayithri Nagar','General (Women)','Chethan Gowda','BJP'
162,'Girinagar','General (Women)','Lalitha.H.S','BJP'
194,'Gottigere','Backward Category B','S.K.Pushpa','INC'
104,'Govindaraja Nagar','Backward Category A','Mohan Kumar','BJP'
171,'Gurappanapalya','General','Mohammed Rizwan Nawab','INC'
84,'Hagadur','Backward Category B','H.A.Srinivas','INC'
87,'HAL Airport','General','Siddalingaiah','BJP'
90,'Halsoor','Scheduled Caste','Udayakumar .R','INC'
133,'Hampi Nagar','General','R.Chandrashekaraiah','BJP'
155,'Hanumanth Nagar','General','K.Chandrashekar','INC'
24,'HBR Layout','Backward Category A','B.Govindaraju','BJP'
21,'Hebbala','General','Jayappa Reddy C.R','BJP'
71,'Hegganahalli','General','Govindegowda M.B','Independent'
198,'Hemmigepura','Backward Category A (Women)','Veena Nagaraju','BJP'
72,'Herohalli','Backward Category B','A.M.Hanumanthegowda','JDS'
38,'HMT Ward','General (Women)','Asha Suresh','INC'
145,'Hombegowda Nagara','General','D.Chandrappa','Independent'
189,'Hongasandra','Backward Category B','Sukanda','BJP'
25,'Horamavu','General (Women)','Tejaswini N. Raju','BJP'
124,'Hosahalli','Backward Category A','Dr.S.Raju','BJP'
161,'Hosakerehalli','General','H.Narayana','BJP'
80,'Hoysala Nagar','Scheduled Caste','Savitha','BJP'
174,'HSR Layout','General (Women)','Latha.K','BJP'
54,'Hudi','Backward Category A','B.A.Basavraju','INC'
136,'Jagajivanaramnagar','General (Women)','Seema Khanum','INC'
173,'Jakkasandra','General (Women)','Saraswathamma','BJP'
5,'Jakkuru','General','Muneendra kumar K.V','BJP'
16,'Jalahalli','Scheduled Caste','R. Narayana Swamy','INC'
186,'Jaraganahalli','General (Women)','Suguna Balakrishna','BJP'
46,'Jayachamarajendra Nagar','General','Govindraj N','INC'
63,'Jayamahal','General','M.K.Gunashekar','INC'
153,'Jayanagar','General (Women)','Gangambike','INC'
170,'Jayanagar East','Backward Category A','Muni Sanjeevaiah','INC'
88,'Jeevanbhima Nagar','Scheduled Caste','K.Chandrashekhar','BJP'
129,'Jnana Bharathi ward','Backward Category B','Govindaraju','INC'
89,'Jogupalya','General','M.Goutham kumar','BJP'
