'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','Ward  Name or Gram Panchayath','Corporator  or Presedent'
'SCHOOL','BANGLORE  ','ANEKAL','HUSKURU',32855,'GKLPS CHOKKASANDRA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','HUSKURU',32856,'GKLPS CHOODASANDRA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','HUSKURU',32857,'GKLPS GHATTA HALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','HUSKURU',32858,'GKLPS GOOLIMANGAL','GP',
'SCHOOL','BANGLORE  ','ANEKAL','HUSKURU',32859,'GKLPS HAROHALLI (HUSKUR)','GP',
'SCHOOL','BANGLORE  ','ANEKAL','HUSKURU',32860,'GKLPS KAGGALIPURA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','HUSKURU',32861,'GKMPS HUSKUR','GP',
'SCHOOL','BANGLORE  ','ANEKAL','HUSKURU',32862,'GKMPS KOODLU','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33361,'GKHPS KUGURU','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33366,'GKHPS THINDLU','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33368,'GKLPS BOVIPALYA (DOMMASANDRA)','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33370,'GKLPS DODDATHIMMASANDRA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33375,'GKLPS KAMMANAHALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33377,'GKLPS MADAPPANAHALLI (MUGALURU)','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33378,'GKLPS MATTANAHALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33379,'GKLPS MC HALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33380,'GKLPS NEKKUNDI BADAVANE','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33381,'GKLPS PANDITHANA AGRAHARA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33382,'GKLPS RAJIVGANDHINAGAR','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33402,'GKHPS BALAGARANA HALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33403,'GKHPS GUDDAHATTI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33404,'GKHPS NERALOORU','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33405,'GKHPS TIRUMAGONDANAHALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33406,'GKHPS YADAVANAHALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33407,'GKLPS BENDIGANAHALLI (NERLOORU)','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33408,'GKLPS ICHHANGUR','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33409,'GKLPS ICHHANGUR VADDARAPALYA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','NERLOORU',33410,'GKLPS KRISHNASAGARA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','CHIKKABIDARAKALLU',32149,'GKHPS CHIKKABIDARAKALLU','GP',
'SCHOOL','BANGLORE  ','NORTH-1','CHIKKABIDARAKALLU',32151,'GKHPS GANGONDANAHALLI (CHIKKABIDARAKALLU)','GP',
'SCHOOL','BANGLORE  ','NORTH-1','CHIKKABIDARAKALLU',32152,'GKHPS MADAVARA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','CHIKKABIDARAKALLU',32155,'GKLPS GANGONDANAHALLI COLONY','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32747,'GKHPS ARKAVATHINAGAR','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32748,'GKHPS CHIKKAGOLLARAHATTI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32749,'GKHPS KADABAGERE','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32750,'GKHPS KG LAKKENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32751,'GKHPS KITTHANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32752,'GKHPS MACHOHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32753,'GKHPS MALLASANDRA MACHOHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32754,'GKHPS RAVUTHANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32755,'GKLPS AVERAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32756,'GKLPS BAIYANDANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32757,'GKLPS BETTAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32758,'GKLPS BYLAKONENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32759,'GKLPS DEVINANJAYYANAPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32760,'GKLPS GARUDACHARPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32761,'GKLPS GIDDENAHALLI (MACHOHALLI)','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32762,'GKLPS GOWDAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32763,'GKLPS KACHOHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32764,'GKLPS KENGENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32765,'GKLPS MACHOHALLI COLONY','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32766,'GKLPS VADDARAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MACHOHALLI',32767,'GULPS KACHOHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33289,'GKHPS LAKSHMIPURA (CHIKKABIDARAKALLU)','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33290,'GKHPS MADANAYAKANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33291,'GKHPS SIDDANAHOSAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33292,'GKHPS SRIKANTAPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33293,'GKLPS DOMBARAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33294,'GKLPS HANUMANTASAGARA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33295,'GKLPS HOTTAPPANAPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33296,'GKLPS KADRENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33297,'GKLPS KAMMASANDRA (MADANAYAKANAHALLI)','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MADANAYAKANAHALLI',33298,'GKLPS KOLLIGANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','MALLASANDRA',33285,'GKHPS THOTADAGUDDADAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','PEENYA',33301,'GKHPS PEENYA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','SONDEKOPPA',33302,'GKHPS HULLEGOWDANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','SONDEKOPPA',33303,'GKHPS LAKKENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','SONDEKOPPA',33304,'GKLPS BAIREGOWDANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','SONDEKOPPA',33305,'GKLPS BALEVEERANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-1','SONDEKOPPA',33306,'GKLPS HUNNIGERE (SONDEKOPPA)','GP',
'SCHOOL','BANGLORE  ','NORTH-1','SONDEKOPPA',33307,'GKLPS NAGASANDRA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','SONDEKOPPA',33308,'GKMPS SONDEKOPPA','GP',
'SCHOOL','BANGLORE  ','NORTH-1','SONDEKOPPA',33309,'GUHPS SONDEKOPPA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','ABBIGERE',33232,'GKHPS VADERAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','ABBIGERE',33233,'GULPS MEDIAGRAHARA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','CHIKKAJALA',33252,'GKLPS BHOVIPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','CHIKKAJALA',33258,'GKLPS MEENUKUNTE HOSUR','GP',
'SCHOOL','BANGLORE  ','NORTH-4','CHIKKAJALA',33261,'GKLPS SHETTIGERE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','CHIKKAJALA',33264,'GKHPS DODDAJALA','GP',
