90,Vijayanagara,BJP,ANAND SINGH
91,Kampli,BJP,T.H. SURESH BABU
92,Siruguppa,BJP,SOMALINGAPPA M.S
93,Bellary,BJP,B.SREERAMULU
94,Bellary City,BJP,GALI SOMASHEKHARA REDDY
95,Sandur,INC,E. TUKARAM
96,Kudligi,BJP,B.NAGENDRA
97,Molakalmuru,INC,N.Y.GOPALA KRISHNA
98,Challakere,BJP,THIPPESWAMY
99,Chitradurga,JD(S),BASAVARAJAN
100,Hiriyur,IND,SUDHAKARA D
101,Hosadurga,IND,GOOLIHATTI. D. SHEKAR
102,Holalkere,BJP,M CHANDRAPPA
103,Jagalur,BJP,S.V.RAMACHANDRA
104,Harapanahalli,BJP,G KARUNAKARA REDDY
105,Harihar,BJP,B.P.HARISH
106,Davanagere North,BJP,S.A RAVINDRANATH
107,Davanagere South,INC,SHAMANURU SHIVASHANKARAPPA
108,Mayakonda,BJP,M BASAVARAJA NAIKA
109,Channagiri,BJP,K.MADAL VIRUPAKSHAPPA
110,Honnali,BJP,M P RENUKACHARYA
111,Shimoga Rural,BJP,K.G.KUMARSWAMY
112,Bhadravati,INC,B.K.SANGAMESHWARA
113,Shimoga,BJP,K.S.ESHWARAPPA
114,Tirthahalli,INC,KIMMANE RATHNAKAR
115,Shikaripura,BJP,B.S.YEDDYURAPPA
116,Sorab,BJP,H. HALAPPA
117,Sagar,BJP,GOPALKRISHNA BELURU
118,Byndoor,BJP,K. LAXMINARAYANA
119,Kundapura,BJP,HALADI SRINIVAS SHETTY
120,Udupi,BJP,K. RAGHUPATHY BHAT
121,Kapu,BJP,LALAJI R. MENDON
122,Karkal,INC,H. GOPAL BHANDARY
123,Sringeri,BJP,D.N .JEEVARAJA
124,Mudigere,BJP,M.P.KUMARA SWAMY
125,Chikmagalur,BJP,C.T RAVI
126,Tarikere,BJP,SURESH .D.S
127,Kadur,INC,K.M.KRISHNAMURTHY
128,Chiknayakanhalli,JD(S),C B SURESH BABU
129,Tiptur,BJP,B.C. NAGESH
130,Turuvekere,INC,JAGGESH
131,Kunigal,INC,B.B. RAMASWAMY GOWDA
132,Tumkur City,BJP,S. SHIVANNA SOGADU
133,Tumkur Rural,BJP,B. SURESH GOWDA
134,Koratagere,INC,DR. G. PARAMESHWARA
135,Gubbi,JD(S),S.R.SRINIVAS [ VASU ]
136,Sira,INC,T.B.JAYACHANDRA
137,Pavagada,IND,VENKATARAMANAPPA
138,Madhugiri,JD(S),GOWRI SHANKAR D.C
