mp_const_name,id,neighbours
CHIKBALLAPUR,27,23|24|25|26
BANGALORE NORTH,24,23|25|26|27
BANGALORE SOUTH,26,23|24|25|27
BANGALORE RURAL,23,24|25|26|27
BANGALORE CENTRAL,25,23|24|26|27
