"BANGLORE  "|"ANEKAL"|"ANEKAL URDU"|33389|"GUHPS DOMMASANDRA"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||285||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ANEKAL URDU"|33384|"GUHPS ANEKAL"|"ANEKAL"|"BANGALORE RURAL"|"WARD NO 20"|"Handed over"|2010||431|1|2|2|1|1|"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32218|"GKHPS  DASANAPURA"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||176||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32227|"GKLPS M MEDAHALLI"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||89|1|1||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32226|"GKLPS KODALIPURA"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||123|1||1|||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32225|"GKLPS KAMBALIPURA"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||106||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32221|"GKLPS AREHALLI (ATTIBELE)"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||72||1||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32224|"GKLPS HAROHALLI (ATTIBELE)"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||43||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32228|"GKLPS MUTHASANDRA"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||68||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32220|"GKMPS MAYASANDRA"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||798|1|1|1|1|1|"Mahadeva Nayak"
