School_Code|acyear|Disabled_C1_Boys|Disabled_C2_Boys|Disabled_C3_Boys|Disabled_C4_Boys|Disabled_C5_Boys|Disabled_C6_Boys|Disabled_C7_Boys|Disabled_C8_Boys|Disabled_C1_Girls|Disabled_C2_Girls|Disabled_C3_Girls|Disabled_C4_Girls|Disabled_C5_Girls|Disabled_C6_Girls|Disabled_C7_Girls|Disabled_C8_Girls
29010206717|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206720|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206721|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206722|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206723|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206801|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206802|2010-11|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
29010206901|2010-11|1|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0
29010207001|2010-11|0|2|0|0|0|1|0|0|0|0|0|1|0|0|2|0
29010207101|2010-11|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0
29010207102|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207103|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207104|2010-11|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207105|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207106|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207107|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207108|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207109|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207201|2010-11|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
29010207202|2010-11|1|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0
29010207205|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207301|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207401|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207501|2010-11|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207701|2010-11|0|0|0|0|0|0|0|0|1|0|0|1|0|1|0|0
29010207801|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207901|2010-11|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207902|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207903|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207905|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207906|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207907|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207908|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207913|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207914|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208001|2010-11|0|0|1|0|0|0|0|0|0|0|0|0|0|2|0|0
29010208002|2010-11|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208101|2010-11|0|0|1|0|0|1|0|0|0|0|2|0|0|0|0|0
29010208201|2010-11|0|0|0|0|1|2|0|0|0|0|0|0|0|0|1|0
29010208301|2010-11|3|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0
29010208401|2010-11|0|0|3|1|0|0|0|0|0|0|0|1|0|0|0|0
29010208501|2010-11|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0
29010208601|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208701|2010-11|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
29010208703|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208801|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208802|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208803|2010-11|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0
29010208901|2010-11|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0
29010209001|2010-11|0|0|1|1|2|0|1|0|0|0|0|1|0|0|0|0
29010209003|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209101|2010-11|1|0|1|0|0|0|0|0|1|1|0|1|0|1|1|0
29010209201|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209301|2010-11|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0
29010209302|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209303|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209304|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209305|2010-11|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
29010209307|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209401|2010-11|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0
29010209403|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209404|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209406|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209408|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209501|2010-11|0|3|1|1|0|0|1|0|0|0|0|0|0|0|0|0
29010209502|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209601|2010-11|0|0|0|1|2|0|2|0|0|0|2|0|0|0|0|0
29010209602|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209701|2010-11|0|0|1|1|0|0|0|0|0|0|0|0|1|0|0|0
29010209801|2010-11|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
29010209803|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209808|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209901|2010-11|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
29010210001|2010-11|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
29010210101|2010-11|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210201|2010-11|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210301|2010-11|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0
29010210501|2010-11|1|0|0|2|4|0|3|0|1|1|0|1|1|0|0|0
29010210503|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210505|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210601|2010-11|0|1|0|0|0|0|1|0|0|0|0|0|0|1|1|0
29010210701|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210801|2010-11|0|0|1|2|1|1|0|0|0|0|0|0|0|0|0|0
29010210802|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210803|2010-11|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0
29010210830|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210901|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210904|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211001|2010-11|2|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0
29010211101|2010-11|0|0|1|0|2|0|2|0|0|0|0|0|0|0|0|0
29010211102|2010-11|0|0|0|0|0|0|0|0|0|1|0|1|2|0|1|0
29010211103|2010-11|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0
29010211105|2010-11|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0
29010211106|2010-11|1|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0
29010211108|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211109|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211201|2010-11|1|1|1|1|1|0|0|0|0|0|2|0|0|0|2|0
29010211202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211203|2010-11|0|0|1|1|0|0|0|0|2|1|0|0|0|0|0|0
29010211205|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211301|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211302|2010-11|0|0|0|0|0|0|0|0|1|0|0|1|0|0|1|0
29010211303|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211401|2010-11|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
29010211402|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211501|2010-11|0|0|0|1|0|0|0|0|0|0|0|1|1|0|1|0
29010211502|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211504|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211505|2010-11|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211601|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211701|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211704|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211711|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211712|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211801|2010-11|2|1|2|0|1|0|1|0|0|0|0|1|2|2|2|0
29010211802|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211803|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211901|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212001|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212101|2010-11|1|0|0|0|1|0|0|0|0|0|0|0|1|0|1|2
29010212201|2010-11|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
29010212202|2010-11|0|0|1|0|0|2|1|0|1|0|0|0|0|0|0|0
29010212203|2010-11|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
29010212204|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212207|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212208|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212301|2010-11|1|1|1|0|2|2|1|0|0|0|0|0|0|0|0|0
29010212303|2010-11|1|2|1|1|1|0|0|0|1|0|0|1|3|0|0|0
29010212304|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212305|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212307|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212401|2010-11|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0
29010212408|2010-11|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0
29010212409|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212501|2010-11|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0
29010212601|2010-11|0|0|0|2|0|3|0|0|0|0|1|0|0|2|1|0
29010212602|2010-11|2|0|0|0|1|0|0|0|0|2|0|0|0|0|0|0
29010212603|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212604|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212605|2010-11|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212606|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212608|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212611|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212621|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010212626|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010213201|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010213202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010213301|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010213302|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300101|2010-11|0|1|0|0|1|2|0|0|0|0|0|0|0|2|0|0
29010300102|2010-11|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0
29010300103|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300105|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300201|2010-11|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0
29010300202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300203|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300205|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300206|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300301|2010-11|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
29010300302|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300303|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300401|2010-11|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
29010300402|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300403|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300501|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300502|2010-11|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
29010300601|2010-11|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
29010300602|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300604|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300701|2010-11|0|0|0|1|0|0|1|0|0|0|0|1|1|0|0|2
29010300702|2010-11|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300801|2010-11|0|2|1|0|1|0|1|0|0|0|0|0|0|0|0|0
29010300802|2010-11|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
29010300803|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010300901|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301002|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301003|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301004|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301101|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301102|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
29010301201|2010-11|0|0|0|0|1|0|0|0|0|0|0|2|0|0|1|0
29010301202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301203|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301301|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301302|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
29010301303|2010-11|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
29010301401|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301402|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301403|2010-11|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0
29010301404|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301405|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301501|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301502|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301504|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301505|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301509|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301510|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301511|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301512|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301601|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
