School_Code|Building_Status|Tot_Clrooms|Classrooms_in_Good_Condition|Classrooms_require_major_repair|Classrooms_require_minor_repair|Other_rooms_in_Good_Cond|Other_rooms_need_major_rep|Other_rooms_need_minor_rep|Toilet_Common|Toilet_Boys|Toilet_Girls|Kitchen_Devices_Grant|Status_of_MDM|Computer_Aided_Learnin_Lab|Separate_Room_for_HeadMaster|Electricity|Boundary_Wall|Library_YN|PlayGround|Blackboard|Books_in_library|Drinking_Water|Medical_Checkup|Ramps|No_of_Computers|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29240202101|3|7|1|6|0|1|0|0|0|4|5|1|3|2|1|1|5|1|1|9|1170|3|1|1|0|0|5|0|0|0|0|0|0
29260911401|3|5|5|0|0|1|0|0|0|1|1|1|3|2|2|1|1|1|2|7|1892|3|1|1|1|3|1|0|0|0|0|0|0
29190704401|3|2|0|1|1|0|0|0|0|1|1|2|3|2|2|1|4|1|2|2|40|1|1|1|0|2|0|0|0|0|0|0|0
29190732601|3|5|5|0|0|5|1|0|0|4|1|1|3|3|1|1|1|1|1|6|1500|3|1|1|6|3|3|0|0|1|0|0|0
29030306601|3|5|5|0|0|1|0|0|0|1|1|1|3|2|1|1|5|1|1|10|535|1|1|1|0|1|2|0|0|0|0|4|2
29280500622|1|12|12|0|0|5|0|0|17|1|1|2|3|1|1|1|1|1|1|15|11557|2|1|2|20|4|10|0|0|0|0|0|0
29191225001|3|3|2|1|0|0|0|0|0|1|1|2|3|2|2|1|1|1|2|3|925|3|1|1|0|1|1|0|0|0|0|0|0
29191218701|3|3|2|1|0|1|0|0|0|1|1|2|3|2|1|1|2|1|2|4|192|4|1|1|0|1|2|0|0|0|0|26|3
29170300503|3|5|5|0|0|1|0|0|0|2|2|1|3|1|2|1|3|1|1|6|1|3|1|1|5|4|1|0|0|0|0|0|0
29260804608|4|6|6|0|0|4|0|0|0|2|6|1|2|1|1|1|8|1|1|6|725|4|1|1|10|6|4|0|1|0|0|0|0
29220214104|3|3|2|0|1|0|0|0|0|1|1|2|3|1|2|1|1|1|2|2|410|3|1|1|0|1|1|0|0|0|0|6|2
29150523292|3|2|2|0|0|1|0|0|1|1|1|1|3|2|1|1|5|1|2|5|275|3|1|2|0|1|2|0|0|0|0|0|0
29150512703|3|6|5|1|0|1|1|0|1|1|1|1|3|2|1|1|1|1|1|7|2600|3|1|1|0|2|2|0|0|0|0|0|0
29031014001|3|7|6|1|0|3|0|0|0|1|1|2|3|2|1|1|1|1|1|10|260|3|1|1|0|7|2|0|0|0|0|0|0
29310421001|3|5|5|0|0|1|0|0|0|1|1|1|3|2|2|1|1|1|1|8|1950|3|1|1|0|4|0|0|0|0|0|0|0
29080501302|3|3|3|0|0|4|0|0|1|2|1|2|3|1|2|1|8|1|1|8|2021|3|1|2|11|5|2|0|0|0|0|0|0
29191010302|3|2|1|0|1|1|0|0|0|1|1|1|3|2|2|1|4|1|1|3|545|3|1|1|0|0|2|0|0|0|0|0|0
29200423801|3|4|3|0|0|0|0|0|1|1|1|1|4|2|2|1|5|1|1|4|500|4|1|1|2|3|1|0|0|0|0|0|0
29170711601|3|2|2|0|0|1|0|0|1|1|1|1|3|2|2|1|3|1|1|2|62|3|1|2|2|2|0|0|0|0|0|25|2
29150202902|3|2|2|0|0|2|0|0|0|1|1|1|3|2|1|1|7|1|1|4|68|4|2|2|0|2|0|0|0|0|0|0|0
29260622201|1|3|3|0|0|1|0|0|1|1|1|2|1|2|2|2|5|2|1|3|0|3|1|2|0|0|3|0|0|0|0|0|0
29260617601|3|2|2|0|0|0|0|0|0|1|1|1|3|2|2|1|1|1|1|5|501|1|1|1|0|2|0|0|0|2|0|0|0
29260815501|3|6|0|6|0|1|0|0|0|2|2|1|3|2|2|1|2|1|2|7|1233|3|1|1|0|2|6|0|0|0|1|10|1
29170616103|3|3|0|3|0|0|2|0|0|1|1|1|2|2|1|1|3|1|1|3|3200|4|1|1|6|5|2|0|0|0|0|0|0
29260313102|3|1|1|0|0|0|0|0|0|1|1|1|3|2|2|1|5|1|1|2|115|3|1|1|0|2|1|0|0|0|0|0|0
29261121202|1|9|9|0|0|1|0|0|1|1|1|2|1|2|1|1|1|1|1|10|170|3|1|2|2|3|7|0|0|0|3|0|0
29320524801|3|6|6|0|0|0|0|0|0|1|2|1|3|2|1|1|5|1|1|8|1287|3|1|1|0|3|2|0|0|0|1|0|0
29320525002|1|4|4|0|0|4|0|0|2|2|2|1|2|2|1|1|7|1|1|6|1800|3|1|2|0|3|4|0|0|0|0|0|0
29080203401|3|3|1|0|2|1|0|0|1|1|1|1|3|2|2|1|1|1|1|6|644|3|1|1|0|2|0|0|0|0|0|3|1
29080403102|3|3|2|1|0|0|0|1|1|1|1|1|3|2|1|1|5|1|2|4|1179|3|1|1|0|2|1|0|0|0|0|0|0
29080103504|1|10|10|0|0|3|0|0|1|1|1|2|2|1|1|1|5|1|1|12|365|4|1|2|12|4|4|0|0|4|0|0|0
29250101101|3|6|0|0|0|0|0|0|0|2|2|1|3|1|1|1|2|1|1|10|2835|2|1|1|5|0|5|0|0|0|0|30|3
29040904601|3|4|4|0|0|1|0|0|0|1|1|2|3|2|2|1|5|1|2|3|200|3|1|1|0|1|2|0|0|0|0|0|0
