District_Name|School_Code|School_Name|Block_Name|Cluster_Name|Village_Name|Pincode
YADAGIRI|29330824701|GOVT LPS TALLAHALLI (K)|SHORAPUR|KANNELLI|TALLAHALLI(K)|585209
YADAGIRI|29330813102|KRISHNA (E.M) LPS KRISHNAPUR|SHORAPUR|LAXMIPUR|KRISHNAPUR|585304
YADAGIRI|29330824901|GOVT LPS TANGADA BAIL|SHORAPUR|GEDDALMARI|TANAGADA BAIL|585237
YADAGIRI|29330818322|ANANDA VIDYALA HS D.GERI SURPUR|SHORAPUR|SHORAPUR|RANGAMPETH|585224
YADAGIRI|29330818323|SUDEEP SHIKSHANA SAMSTE R.PET|SHORAPUR|RANGAMPETH|RANGAMPETH|585220
YADAGIRI|29330821102|GOVT HPS WAGANAGERA|SHORAPUR|PETHAMMAPUR|WAGANAGERA|585290
YADAGIRI|29331000103|GOVT LPS ACHOLA SANNA TANDA|YADGIR|HEDGIMADRA|ACHOLA|585202
YADAGIRI|29331000201|GOVT HPS ALLIPUR|YADGIR|ALLIPUR|ALLIPUR|585202
YADAGIRI|29331000204|GOVT LPS VARI TANDA ALLIPUR|YADGIR|HATTIKUNI|ALLIPUR|585202
YADAGIRI|29331000206|GLPS GULGUNDI TANDA|YADGIR|YERGOAL|ALLIPUR|585202
YADAGIRI|29331000207|GLPS JAKANAL TANDA|YADGIR|ALLIPUR|ALLIPUR|585202
YADAGIRI|29330821103|LPS PADAKOTI|SHORAPUR|PETHAMMAPUR|WAGANAGERA|585290
YADAGIRI|29330821202|GOVT HPS YADAHALLI|SHORAPUR|GUNDALGERA|YADAHALLI|585216
YADAGIRI|29330813202|GOVT HPS KUDALAGI|SHORAPUR|KANNELLI|KUDALGI|585224
YADAGIRI|29330813301|GOVT HPS KUPAGAL|SHORAPUR|RUKMAPUR|KUPGAL|585290
YADAGIRI|29330813401|GOVT LPS KUPPI|SHORAPUR|HUNASAGI|KUPPII|585291
YADAGIRI|29330816508|SHARANABASAVESHWARA LPS NAGANOOR|SHORAPUR|NAGANUR|NAGANOOR|585216
