schcd|acyear|Working_Days_Primary|Working_Days_UPrimary|Schoool_Hours_Children_Pri|School_Hours_Children_UPri|School_Hours_Tch_P|School_Hours_Tch_UPR|Approachable_by_All_Weather_Road|CCE_implemented|People_Cumilativere_Record_Maintained|PCR_Shared_with_Parents|Children_from_Weaker_Section_Applied|Children_from_Weaker_Section_Enrolled|Aid_Received|Chilren_Admitted_for_Free_Education|SMC_Constituted|SMC_Members_Male|SMC_Members_Female|SMC_Members_Parents_Male|SMC_Members_PArents_Female|SMC_Members_Local_Authority_Male|SMC_Members_Local_Authority_Female|SMC_Meetings_Held|School_Developmentplan_Prepared|SMC_Children_Record_Maintained|Chld_Enrolled_for_Sp_Training_Current_Year_B|Chld_Enrolled_for_Sp_Training_Current_Year_G|Spl_Training_Provided_Current_Year_B|Spl_Training_Provided_Current_Year_G|Spl_Training_Enrolled_Previous_Year_B|Spl_Training_Enrolled_Previous_Year_G|Spl_training_Provided_Previous_Year_B|Spl_Training_Provided_Previous_Year_G|Spl_Training_Conducted_by|Spl_Training_Place|spl_Training_Type|Tch_or_EVS_for_spl_training|Spl_Training_Material|Textbook_Received|Text_Book_Received_Month|Text_Book_Received_Year|Academic_Session_Start_in|MDM_Status|Kitchenshed_Status|MDM_Source|Days_Meals_Served|Meals_Served_Prev_Yr|Students_Opted_MDM_B|Stdents_Opted_MDM_G|Kitchen_Devaices_Grant|Cook_M|Cook_F|Inspections_by_SO|Inspections_by_CM
29260913802|2011-12|223|0|7|0|7|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|1|2|0|0|0|0|0|2|0|0|0|0
29260908101|2011-12|231|231|8|8|8|8|1|1|1|1|0|0|0|0|1|7|7|5|4|3|1|10|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|6|2011|5|3|1|1|231|0|52|54|2|0|0|0|0
29260921001|2011-12|232|232|7|6|7|7|1|1|1|1|0|0|0|0|1|9|7|5|4|2|1|8|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|1|230|0|60|60|1|0|0|0|0
29150621301|2011-12|228|0|5|0|5|0|1|1|1|1|0|0|0|0|1|9|7|6|3|0|0|8|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|1|228|0|3|20|2|0|0|0|0
29150305702|2011-12|231|0|6|0|6|0|1|1|1|1|0|0|0|0|1|6|3|6|3|0|0|9|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|5|3|1|1|229|0|10|8|1|0|0|0|0
29170104004|2011-12|0|248|0|8|0|8|1|1|1|1|0|0|0|0|2|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|2|1|6|2011|5|3|2|5|224|0|34|27|1|0|0|0|0
29170102001|2011-12|228|228|7|7|7|7|1|2|2|2|0|0|0|0|1|9|8|6|3|1|0|7|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|5|228|0|18|15|1|0|0|0|0
29170103611|2011-12|0|236|0|7|0|7|1|1|2|2|0|0|0|0|2|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|2|1|7|2011|5|0|2|0|0|0|0|0|2|0|0|0|0
29170103402|2011-12|224|0|7|0|7|0|1|1|1|1|0|0|0|0|1|9|6|4|4|1|0|6|1|2|0|0|0|0|0|0|0|0|0|0|0|0|2|1|6|2011|5|3|1|5|223|0|5|1|1|0|0|0|0
29170104801|2011-12|227|227|7|7|7|7|1|1|1|1|0|0|0|0|1|10|7|5|4|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|5|230|0|50|37|1|0|0|0|0
29170100801|2011-12|220|0|7|0|7|0|1|1|1|1|0|0|0|0|1|10|7|5|4|5|3|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|5|220|0|2|4|1|0|0|0|0
29190721502|2011-12|0|210|0|6|0|6|1|1|1|1|0|0|0|0|1|0|0|4|2|0|0|5|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|2|5|210|0|123|106|2|0|0|0|0
29190717001|2011-12|238|0|6|0|6|0|1|1|1|1|0|0|0|0|1|6|6|5|4|1|1|5|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|238|0|18|12|2|0|0|0|0
29191216101|2011-12|237|237|6|6|6|6|1|1|1|1|0|0|0|0|1|6|3|6|3|3|0|5|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|235|0|28|58|1|0|0|0|0
29320809701|2011-12|229|229|8|8|8|8|1|1|2|2|0|0|0|0|1|8|7|6|3|0|0|4|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|226|0|15|12|1|0|0|0|0
29320809801|2011-12|226|226|8|8|8|8|1|1|2|2|0|0|0|0|1|9|6|5|4|1|1|10|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|226|0|35|43|1|0|0|0|0
29150705501|2011-12|226|226|9|9|9|9|1|1|1|1|0|0|0|0|1|6|3|6|3|2|3|8|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|2011|5|3|1|9|226|0|40|32|1|0|0|0|0
29170205101|2011-12|230|230|8|8|8|8|1|1|1|1|0|0|0|0|1|5|4|1|1|0|0|10|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|5|230|0|31|23|1|0|0|0|0
29190702101|2011-12|234|0|6|0|6|0|1|1|1|1|0|0|0|0|1|7|6|6|3|1|3|9|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|234|0|15|5|2|0|0|0|0
29190712601|2011-12|231|0|6|0|6|0|1|1|1|1|0|0|0|0|1|8|6|6|3|2|3|11|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|232|0|19|19|1|0|0|0|0
