'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','CATEGORY','MP CONSTITUENCY','MP NAME','MLA CONSTITUENCY','MLA NAME','WARD NAME','REPRESENTATIVE CORPORATER','WARD NO'
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',31541,'YELAHANKA  4',,'CHIKBALPURA','VEERAPPA MOILI','YELAHANKA','Y R VISHWANATH','KENPEGOWDANAGARA','YN ASHWATHA',1
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',31529,'KAMAKSHAMMA LAYOUT',,'CHIKBALPURA','VEERAPPA MOILI','YELAHANKA','Y R VISHWANATH','CHOWDESHWARI','YASHODAMMA',2
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',31245,'AMBEDKAR NAGAR (YELAHANKA)',,'BANGLORE NORTH','VEERAPPA MOILI','YELAHANKA','S.R.VISHWANATH','YELAHANKA UPNAGARA','MUNIRAJU',4
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',33863,'YELAHANKA UPANAGARA 1',,'BANGLORE NORTH','VEERAPPA MOILI','YELAHANKA','S.R.VISHWANATH','YELAHANKA UPNAGARA','MUNIRAJU',4
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',30847,'JAKKUR',,'BANGALORE NORTH ','DB CHANDEGOWDA','BYATARAYANPURA',,'BYATARAYANAPURA','MUNEDRA KUMARA',5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',30853,'KOGILU LAYOUT  1',,'BANGLORE NORTH','VEERAPPA MOILI','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA','MUNEDRA KUMARA',5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',31306,'KOGILU',,'BANGLORE NORTH','VEERAPPA MOILI','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA','MUNEDRA KUMARA',5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',31311,'AGRAHARA LAYOUT 1',,'BANGALORE NORTH ','VEERAPPA MOILI','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA','MUNEDRA KUMARA',5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',31494,'SAMPIGEHALLI',,'BANGALORE NORTH ','VEERAPPA MOILI','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA',,5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',31502,'AGRAHARALAYOUT 2',,'BANGALORE NORTH','VEERAPPA MOILI','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA',,5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',31505,'JAKKUR LAYOUT 1',,'BANGALORE NORTH','VEERAPPA MOILI','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA',,5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',33850,'AGRAHARA',,'BANGALORE NORTH','VEERAPPA MOILI','YELAHANKA','KRISHNABAIREGOWDA','BYATARAYANAPURA',,5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',33856,'AMRUTHAHALLI KENDRA 1',,'BANGLORE NORTH','VEERAPPA MOILI','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA','MUNEDRA KUMARA',5
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KODIGENAHALLI',31005,'SANJEEVINAGAR 1',,'BANGALORE NORTHL ','DB CHANDEGOWDA','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA','INDIRA',7
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KODIGENAHALLI',31015,'SANJEEVININAGAR 2',,'BANGALORE NORTHL ','DB CHANDEGOWDA','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA','INDIRA',7
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KODIGENAHALLI',31023,'SANJEEVININAGAR 3',,'BANGALORE NORTHL ','DB CHANDEGOWDA','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA','INDIRA',7
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','YALAHANKA',30590,'JAKKUR LAYOUT 2',,'BANGALORE NORTH','DB CHANDEGOWDA','BYATARAYANPURA','KRISHNABAIREGOWDA','BYATARAYANAPURA','INDIRA',7
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KODIGENAHALLI',31299,'KODIGEHALLI 1',,'BANGALORE NORTH','DB CHANDEGOWDA','BYATARAYANPURA','KRISHNABAIREGOWDA','KODIGEHALLI','ASHWATH NARAYANA GOWDA',8
