SCHOOLID;WARD_ID ;TYPE;DIST;BLK;CLUS;NAME;KLPID;GEO_WARD;STATUS;CORRECT_WARD
34002;96;2;bangalore;bangalore central;kuvempunagar 4th circle;OKLIPURA-III;34002;95;found;96
31044;104;2;bangalore;bangalore central;kuvempunagar 4th circle;PRASHANTHANAGARA;31044;103;found;104
33995;105;2;bangalore;bangalore central;kuvempunagar 4th circle;KANTEERAVA COLONY;33995;106;found;105
;;1;BANGALORE;BMP-1;BMPCLUSTER;CPS AUSTIN TOWN;32094;;;111
31119;114;2;bangalore;sumangali seva ashrama;koramangala;CARD MANI 1;31119;151;found;114
31459;113;2;bangalore;bangalore central;triveni 5th circle;KADAPASWAMI MATTA;31459;122;found;122
31202;123;2;bangalore;bangalore central;kuvempunagar 4th circle;HOSSAHALLI;31202;124;found;123
31453;144;2;bangalore;bangalore central;kuvempunagar 4th circle;ARUNDHATHINAGAR;31453;96;found;128
31087;131;2;bangalore;bangalore central;sir m vishweshwariah 1st circle;PANTARA PALYA;31087;160;found;131
31133;133;2;bangalore;bangalore central;triveni 5th circle;CHOLUR PALYA 6;31133;123;found;133
34089;134;2;bangalore;bangalore central;netaji2nd circle;ARFATH NAGAR;34089;135;found;134
34069;135;2;bangalore;bangalore central;netaji2nd circle;AYAPPASEVASANGA;34069;136;found;135
34100;135;2;bangalore;bangalore central;netaji2nd circle;AYAPPASEVASANGHA I;34100;136;found;135
34102;135;2;bangalore;bangalore central;netaji2nd circle;BASAVESHWARASEVASANGA2;34102;136;found;135
34153;135;2;bangalore;bangalore central;netaji2nd circle;MUSLEEM HUTS;34153;136;found;135
34092;136;2;bangalore;bangalore central;netaji2nd circle;J.J.R.NAGAR;34092;137;found;136
34101;137;2;bangalore;bangalore central;netaji2nd circle;JAGAJEEVANARAMNAGARA;34101;136;found;136
31378;138;2;bangalore;bangalore central;kithuru rani channamma 3rd circle;CHELUVADI PALLYA2 CENTER;31378;139;found;138
31381;138;2;bangalore;bangalore central;kithuru rani channamma 3rd circle;CHALYAVADI PALYA 1;31381;139;found;138
34105;140;2;bangalore;bangalore central;netravathi;TIMBARYARD SLUM;34105;139;found;138
31447;140;2;bangalore;bangalore central;netaji2nd circle;VITTAL NAGAR;31447;141;found;140
33634;154;2;bangalore;sumangali seva ashrama;koramangala;SANYASIKUNTE2;33634;155;found;154
31488;113;2;bangalore;bangalore central;triveni 5th circle;PRIYADARSHINI;31488;122;found;157
29610;43;2;bangalore;bangalore north (yelahanka);laggere 4th circle;JAIBHUVANESWARANAGAR2;29610;42;found;43
30584;19;2;bangalore;bangalore north (yelahanka);kodigenahalli;HEBBAL;30584;21;found;21
