'HEIRARCHY','DISTRICT','PROJ/BLOCK','CIRCLE/CLUSTER','ID','SCHOOLNAME','CATEGORY_DESC','MP CONST.','MP NAME','MLA CONST.','MLA NAME','WARD','CORPORATOR',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33901,'B M SLUM','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','PULIKESH NAGAR','PRASANA KUMAR',31,'NOOR JAN SHARIEFF',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30586,'KACHARKANAHALLI','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',29,'PADMANAB REDDY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31439,'VEERANAPALYA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31507,'LINGARAJAPURA B BLOCK','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',49,'LAVANYA GANESH REDDY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30993,'SANDHYAVANAGARA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','PULIKESH NAGAR','PRASANA KUMAR',47,'PRIYA SHAILA',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30999,'CHOLANAYAKANAHALLI 2','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','HEBBALA','KATTA SUBRAMANI NAIDU',21,'JAYAPPA REDDY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33933,'SIDHARTHANAGAR','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33888,'BAIRANAKUNTE - 2','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31001,'HENNURU  BANDE','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33887,'BRUNDAVANA NAGAR','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33879,'BAIRANAKUNTE -1','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','PULIKESH NAGAR','PRASANA KUMAR',31,'NOOR JAN SHARIEFF',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33907,'ASHOKANAGARA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33800,'LINGRAJPURAM  3','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',49,'LAVANYA GANESH REDDY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33883,'VEERANAPALYA 2','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30984,'NAGAWARA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31317,'BASAVALINGAPPA NAGARA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31006,'LINGARAJAPURA A BLOCK','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',28,'SRINIVASA',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30456,'CHOLANAYAKANAHALLI 1ST','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','HEBBALA','KATTA SUBRAMANI NAIDU',21,'JAYAPPA REDDY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30982,'GOVIND PURA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL',,'BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33872,'RAMSWAMIPALYA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',28,'SRINIVASA',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','LAGGERE 4TH CIRCLE',30438,'PANCHASHELA NAGAR','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','LAGGERE 4TH CIRCLE',30435,'MUDALA PALYA 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','LAGGERE 4TH CIRCLE',30468,'BAIRESHWARANAGARA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',127,'SHANTHA KUMARI',
