"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC"
'PRESCHOOL', 'Bangalore', 'BANGALORE NORTH (Yelahanka)', 'Yalahanka', 33925, 'AGRAHAR BEDAVANI 2', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'BANGALORE NORTH (Yelahanka)', 'Yalahanka', 33941, 'HOSABEEDI KANDERA3', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'BANGALORE NORTH (Yelahanka)', 'Yalahanka', 33948, 'MARUTHI NAGAR', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'BANGALORE NORTH (Yelahanka)', 'Yalahanka', 35483, 'MANJUNATH NAGAR 1', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'BANGALORE NORTH (Yelahanka)', 'Yalahanka upnagar', 31414, 'MOODALAPALYA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore State', 'Wilson Garden', 30412, 'LALBAGH', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore State', 'Wilson Garden', 31151, 'SIDDARAT COLONY', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore State', 'Wilson Garden', 31152, 'SIDDARAT COLONY 2', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore State', 'Wilson Garden', 31188, 'SIDDARAT COLONY 3', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore State', 'Wilson Garden', 34068, 'JAYANAGAR 1', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore State', 'Wilson Garden', 34160, 'JAKKASANDRA  2', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'Byrathi', 30571, 'KOTTANOORU', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'Byrathi', 30665, 'JODIHUSKURU', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'Byrathi', 31315, 'THIRUMENAHALLI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'Doddakannelli', 33774, 'MULLURU', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'K.R.Puram', 30944, 'KAVERINAGAR 1', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'K.R.Puram', 30953, 'DODDA DEVASANDRA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'Kengeri circle', 30947, 'DEVARABISANA HALLI', 'Anganwadi'
