"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","Ward","WARD NO","Corporator"
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30473,"GORIPALYA 6","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31426,"GIRIPURA 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31397,"VELUMURUGA PURA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30424,"CHOLUR PALYA","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",34045,"BHAKSHI GARDEN -3","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31394,"ANANDA PURAM-5","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",30992,"SHANKARAMATA (M G SLUM)","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",31061,"GOVINDARAJANAGARA2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",33998,"AGRAHARADASARAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",30641,"NAGAVARAPALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",30778,"NARAYANARAO COLONY","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",31057,"GOVINDARAJANAGARA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",30630,"F/A NAGAR 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30441,"PADRAYANPURA 5","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34089,"ARFATH NAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30428,"PADARAYANAPURA 4","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34060,"MOODALAPALYA - 3","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34058,"MOODALAPALYA - 2","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",31358,"MUSLIM BARIYAL GROUND  XXXX","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34086,"BASVESHWAR SAVASANGA 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34087,"ARFATH NAGAR WEST","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34062,"MOODALAPALYA - 4","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34101,"JAGAJEEVANARAMNAGARA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",31352,"MUSLIM BARIYAL GROUND","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34080,"MUDALAPALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30342,"WAMIKINAGAR 1ST CROSS","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34095,"KASTHURI BA SEVA SANGA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30417,"AYYAPPA SEVA SANGA 2","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",31484,"VINYAKA NAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30423,"GORIPALYA","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34055,"MOODALAPALYA - 1","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34063,"PADARAYANA PURA 2 ND","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",31527,"PADARAYANA PURA-3RD","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30460,"ARAFATHNAGAR 1","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30458,"ARAFATHNAGAR","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netravathi",34105,"TIMBARYARD SLUM","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34096,"CHOLURPALAYA","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",35115,"ARUNDHOTHINAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30431,"NAYANDANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34036,"BYRAVESHWARA NAGARA","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",31418,"GANGONDHANAHALLI   2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",33978,"BYATARAYANAPUR-I","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",35485,"GANGANDANA HALLI","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30650,"BAPUJINAGARA I","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30434,"CHOLUR PALYA 3","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30413,"G G HALLI","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",33979,"ARAFATHANAGAR-II","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",35478,"KALYAN NAGAR","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30399,"SHAMMANNA GARDEN PIPELANE RAILWAYGATE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30439,"CHOLUR PALYA 4","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34098,"CHOLURPALAYA 1","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30379,"AVALAHALLI HOSABADAVANE","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30390,"SHAMMANNA GARDEN 5TH CROSS","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30334,"BYATARYAN PURA-II","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",33977,"KASTURABHANAGAR-I","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34044,"BAIRAVESHVARANAGARA","Independent  Balwadi",,,,,,,
