'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','CATEGORY','MP CONSTITUENCY','MP NAME','MLA CONSTITUENCY','MLA NAME','WARD NAME','REPRESENTATIVE CORPORATER','WARD NO'
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30429,'CHOLUR PALYA 2',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','VIJAYANAGARA','H RAVINDRA',123
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30434,'CHOLUR PALYA 3',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','VIJAYANAGARA','H RAVINDRA',123
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30439,'CHOLUR PALYA 4',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','VIJAYANAGARA','H RAVINDRA',123
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34096,'CHOLURPALAYA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','VIJAYANAGARA','H RAVINDRA',123
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34098,'CHOLURPALAYA 1',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','VIJAYANAGARA','H RAVINDRA',123
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30399,'SHAMMANNA GARDEN PIPELANE RAILWAYGATE',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','MARUTHI MANDIRA','VAGEESH',126
'SCHOOL','BANGLORE  ','SOUTH-2','ARUNDHATHINAGAR',33078,'GKHPS NAGARABAVI',,'BANGALORE SOUTH','ANANTHKUMAR','GOVINDARAJ NAGARA','PRIYAKRISHNA','MOODALAPALYA','SHANTHAKUMARI',127
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34055,'MOODALAPALYA - 1',,'BANGALORE SOUTH','ANANTHKUMAR','GOVINDARAJ NAGARA','PRIYAKRISHNA','MOODALAPALYA','SHANTHAKUMARI',127
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34058,'MOODALAPALYA - 2',,'BANGALORE SOUTH','ANANTHKUMAR','GOVINDARAJ NAGARA','PRIYAKRISHNA','MOODALAPALYA','SHANTHAKUMARI',127
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34060,'MOODALAPALYA - 3',,'BANGALORE SOUTH','ANANTHKUMAR','GOVINDARAJ NAGARA','PRIYAKRISHNA','MOODALAPALYA','SHANTHAKUMARI',127
