KLPID|DISE CODE
36227|29210417101
36211|29210417601
36228|29210417301
36212|29210413902
36233|29210411901
36236|29210412401
36247|29210411801
36235|20040130004
36237|29210411401
36225|29210415901
36203|29210416801
36214|29210416601
36219|29210416101
36198|29210416301
36201|29210416001
36204|29210412501
36197|29210416401
36231|29210416202
36199|29210416201
36195|29210409801
36202|29210416701
36248|29020422011
35968|this school is not their
36089|29210413302
36215|29210410901
36224|29210410001
36223|29210410601
36222|29210410701
36220|29210411001
36206|29210408002
36210|29210104601
36200|29210410801
36213|29200425401
36217|20040110006
36193|29210109701
35928|29210404901
35910|29210421001
36189|29280702801
36052|29210413901
36136|School closed
35878|29210113801
36241|pro gramme is not running
36238|29210401701
36245|29210402201
36239|29210402301
36246|29210401801
36242|29210401901
36244|29200105801
36243|29210403801
36240|29210402001
35941|29210409701
36088|29210414601
35985|29210303501
